uncertainty_id,page_id,year,document_id,document_page_number,text,source_json_path
uncertainty:2016-1:0001:001,page:2016-1:0001,2016,2016-1,1,"{""field"":""free_text"",""note"":""handwritten year digits; '2016' start-year is stylized but consistent with tesseract and filing context"",""read"":""Period Covered: January 1, 2016 to DECEMBER 31, 2016"",""row"":null}",docs/2016-1/text/page-001.json
uncertainty:2016-1:0005:001,page:2016-1:0005,2016,2016-1,5,"{""field"":""income_types"",""note"":""the 'Other Type of Income' cell is blacked out for SPTWG but no write-in specification text is visible anywhere on the page"",""read"":""Other Type of Income"",""row"":1}",docs/2016-1/text/page-005.json
uncertainty:2016-1:0005:002,page:2016-1:0005,2016,2016-1,5,"{""field"":""income_current_year"",""note"":""the black bar at the 'A: None' Current Year row spans all three asset columns; left extent over the SPTWG column verified across BL/BR crops but the crop seam makes the col-1 edge slightly ambiguous"",""read"":""A: None"",""row"":1}",docs/2016-1/text/page-005.json
uncertainty:2016-1:0007:001,page:2016-1:0007,2016,2016-1,7,"{""field"":""ticker"",""note"":""printed with spaces between letters; tesseract reads 'IHS'"",""read"":""I H S"",""row"":4}",docs/2016-1/text/page-007.json
uncertainty:2016-1:0008:001,page:2016-1:0008,2016,2016-1,8,"{""field"":""amount_of_income_preceding_year"",""note"":""Fox shows Dividends and Capital Gains income types but preceding-year amount marked None; transcribed as printed"",""read"":""A: None"",""row"":2}",docs/2016-1/text/page-008.json
uncertainty:2016-1:0011:001,page:2016-1:0011,2016,2016-1,11,"{""field"":""amount_of_income_preceding_year"",""note"":""Alliance Data shows Dividends and Capital Gains income types but preceding-year amount marked None; transcribed as printed"",""read"":""A: None"",""row"":4}",docs/2016-1/text/page-011.json
uncertainty:2016-1:0013:001,page:2016-1:0013,2016,2016-1,13,"{""field"":""ticker"",""note"":""Unusual ticker for Allergan Inc; printed text clearly reads AGNEZ (tesseract agrees)."",""read"":""AGNEZ"",""row"":4}",docs/2016-1/text/page-013.json
uncertainty:2016-1:0013:002,page:2016-1:0013,2016,2016-1,13,"{""field"":""amount_of_income"",""note"":""Allergan PLC marked Capital Gains as income type but None for both income-amount blocks; transcribed as marked."",""read"":""A: None (both years)"",""row"":2}",docs/2016-1/text/page-013.json
uncertainty:2016-1:0017:001,page:2016-1:0017,2016,2016-1,17,"{""field"":""asset_name"",""note"":""Printed with space between V and F; tesseract reads 'VF Corp'."",""read"":""V F Corp"",""row"":2}",docs/2016-1/text/page-017.json
uncertainty:2016-1:0020:001,page:2016-1:0020,2016,2016-1,20,"{""field"":""asset_name"",""note"":""printed name appears truncated by cell width; trailing 'I' is likely the start of 'Inc'. Transcribed as printed."",""read"":""American International Group I"",""row"":3}",docs/2016-1/text/page-020.json
uncertainty:2016-1:0026:001,page:2016-1:0026,2016,2016-1,26,"{""field"":""amount_of_income_preceding_year"",""note"":""appears to be template shading/scan artifact rather than a selection; each column has exactly one solid black mark in that block (H/G/I respectively), which was transcribed"",""read"":""grey speckled band across the 'A: None' row of the Preceding Year block in all three columns"",""row"":""all""}",docs/2016-1/text/page-026.json
uncertainty:2016-1:0027:001,page:2016-1:0027,2016,2016-1,27,"{""field"":""amount_of_income_preceding_year"",""note"":""marked differently from the other blocks: the 'A: None' cell of the Preceding Year block shows a grey speckled fill with a small dark x/asterisk mark at its center rather than a solid black fill; no other cell in that block is marked, so read as A: None"",""read"":""A: None"",""row"":1}",docs/2016-1/text/page-027.json
uncertainty:2016-1:0028:001,page:2016-1:0028,2016,2016-1,28,"{""field"":""ticker"",""note"":""printed with wide letter spacing ('I H S'); tesseract reads IHS"",""read"":""IHS"",""row"":3}",docs/2016-1/text/page-028.json
uncertainty:2016-1:0036:001,page:2016-1:0036,2016,2016-1,36,"{""field"":""amount_of_income_preceding_year"",""note"":""Preceding-year C bucket bar spans the AINV and AIT columns continuously (confirmed in BL+BR quadrants); low-res full page could be misread as AINV only."",""read"":""$201-$1,000"",""row"":1}",docs/2016-1/text/page-036.json
uncertainty:2016-1:0040:001,page:2016-1:0040,2016,2016-1,40,"{""field"":""asset_name"",""note"":""printed as 'Broadridge Fin Solu.Llc'; tesseract reads 'Broadridge Fin Solu.LIc' - final token could be 'Llc'/'LLC' abbreviation, transcribed as printed"",""read"":""Broadridge Fin Solu.Llc"",""row"":1}",docs/2016-1/text/page-040.json
uncertainty:2016-1:0042:001,page:2016-1:0042,2016,2016-1,42,"{""field"":""amount_of_income_preceding_year"",""note"":""Chatham Lodging Trust marks Dividends and Capital Gains as income types yet both current-year and preceding-year amounts are marked None; transcribed exactly as filled (verified in BL quad: preceding-year A: None band covers CLDT column)"",""read"":""A: None"",""row"":1}",docs/2016-1/text/page-042.json
uncertainty:2016-1:0044:001,page:2016-1:0044,2016,2016-1,44,"{""field"":""amount_of_income_preceding_year"",""note"":""CPSI marks Dividends and Capital Gains as income types but both current-year and preceding-year amounts are checked 'A: None'; black cell on the preceding-year 'A: None' row in the third column confirmed in full page and BR quad."",""read"":""A: None"",""row"":3}",docs/2016-1/text/page-044.json
uncertainty:2016-1:0045:001,page:2016-1:0045,2016,2016-1,45,"{""field"":""amount_of_income_preceding_year"",""note"":""Convergys marks Dividends and Capital Gains as income types but both current-year and preceding-year amounts are checked 'A: None'; black cell confirmed in full page and BL quad."",""read"":""A: None"",""row"":1}",docs/2016-1/text/page-045.json
uncertainty:2016-1:0046:001,page:2016-1:0046,2016,2016-1,46,"{""field"":""asset_name"",""note"":""tesseract reads 'Eagle Matis Inc'; quad crop supports 'Matls' (Eagle Materials, ticker EXP)"",""read"":""Eagle Matls Inc"",""row"":2}",docs/2016-1/text/page-046.json
uncertainty:2016-1:0049:001,page:2016-1:0049,2016,2016-1,49,"{""field"":""amount_of_income_preceding_year"",""note"":""GPN marks Dividends and Capital Gains as income types yet both current-year and preceding-year amounts are filled 'A: None' — transcribed as shown on the form"",""read"":""A: None"",""row"":2}",docs/2016-1/text/page-049.json
uncertainty:2016-1:0049:002,page:2016-1:0049,2016,2016-1,49,"{""field"":""amount_of_income_preceding_year"",""note"":""GNC marks Dividends and Capital Gains as income types yet both current-year and preceding-year amounts are filled 'A: None' — transcribed as shown on the form"",""read"":""A: None"",""row"":3}",docs/2016-1/text/page-049.json
uncertainty:2016-1:0050:001,page:2016-1:0050,2016,2016-1,50,"{""field"":""amount_of_income_preceding_year"",""note"":""GES marks Dividends and Capital Gains as income types yet both current-year and preceding-year amounts are filled 'A: None' — transcribed as shown on the form"",""read"":""A: None"",""row"":1}",docs/2016-1/text/page-050.json
uncertainty:2016-1:0053:001,page:2016-1:0053,2016,2016-1,53,"{""field"":""amount_of_income_preceding_year"",""note"":""JNS marks Dividends and Capital Gains as income types yet both current-year and preceding-year amounts are filled 'A: None' — transcribed as shown on the form"",""read"":""A: None"",""row"":1}",docs/2016-1/text/page-053.json
