page_id,year,document_id,document_page_number,printed_label,section,page_type,page_type_raw,confidence,free_text,row_count,uncertainty_count,page_image_path,source_json_path,tesseract_text_path
page:2016-1:0001,2016,2016-1,1,1/116,FORM B COVER PAGE,cover,cover,high,"# UNITED STATES HOUSE OF REPRESENTATIVES — FINANCIAL DISCLOSURE STATEMENT

**FORM B** — For New Members, Candidates, and New Employees

Stamps: ""HAND DELIVERED"" / ""LEGISLATIVE RESOURCE CENTER — 17 AUG 10 AM 9:15 — OFFICE OF THE CLERK, U.S. HOUSE OF REPRESENTATIVES"". Handwritten initials ""MC"" next to (Office Use Only).

- **Name:** Rohit Khanna
- **Daytime Telephone:** 202) 225-2631
- **Filer Status:** [X] New Member of or Candidate for U.S. House of Representatives — State: CA, District: 17. Candidates – Date of Election: (blank)
- New Officer or Employee: not checked. Employing Office: (blank). Staff Filer Type (If Applicable): Shared (unchecked), Principal Assistant (unchecked)
- **Check if Amendment:** not checked
- **Period Covered:** January 1, 2016 to DECEMBER 31, 2016 (handwritten)
- Notice: ""A $200 penalty shall be assessed against any individual who files more than 30 days late.""

## PRELIMINARY INFORMATION — ANSWER EACH OF THESE QUESTIONS

| Q | Question | Answer |
|---|----------|--------|
| A | Did you, your spouse, or your dependent child: a. Own any reportable asset that was worth more than $1,000 at the end of the reporting period? or b. Receive more than $200 in unearned income from any reportable asset during the reporting period? | Yes [X] |
| C | Did you or your spouse have ""earned"" income (e.g., salaries, honoraria, or pension/IRA distributions) of $200 or more during the reporting period? | Yes [X] |
| D | Did you, your spouse, or your dependent child have any reportable liability (more than $10,000) at any point during the reporting period? | Yes [X] |
| E | Did you hold any reportable positions during the reporting period or in the current calendar year up through the date of filing? | Yes [X] |
| F | Did you have any reportable agreement or arrangement with an outside entity during the reporting period or in the current calendar year up through the date of filing? | No [X] |
| J | Did you receive compensation of more than $5,000 from a single source in the current year and two prior years? | No [X] |

ATTACH THE CORRESPONDING SCHEDULE IF YOU ANSWER ""YES"" — THIS FORM INCLUDES ONLY THE SCHEDULES THAT YOU ARE REQUIRED TO COMPLETE

## EXCLUSION OF SPOUSE, DEPENDENT, OR TRUST INFORMATION - ANSWER BOTH OF THESE QUESTIONS

| Question | Answer |
|----------|--------|
| TRUSTS – Details regarding ""Qualified Blind Trusts"" approved by the Committee on Ethics and certain other ""excepted trusts"" need not be disclosed. Have you excluded from this report details of such a trust that benefits you, your spouse, or dependent child? | No [X] |
| EXEMPTION – Have you excluded from this report any other assets, ""unearned"" income, or liabilities of a spouse or dependent child because they meet all three tests for exemption? Do not answer ""yes"" unless you have first consulted with the Committee on Ethics. | No [X] |",0,1,docs/2016-1/pages/page-001.jpg,docs/2016-1/text/page-001.json,docs/2016-1/tess/page-001.txt
page:2016-1:0002,2016,2016-1,2,2/116,"SCHEDULE A - ASSETS & ""UNEARNED INCOME""",schedule_a,schedule_a,high,"Schedule A grid first page. Name: Rohit Khanna. ""Page ___ of ___"" left blank. No actual data rows filled into the grid — only the preprinted greyed example rows (Mega Corp Stock; Simon & Schuster; ABC Hedge Fund). In the asset-name column the filer typed:

""Please see the attached""
""Note: Almost all assets are spousal""

Footer: ""Use additional sheets if more space is required.""",0,0,docs/2016-1/pages/page-002.jpg,docs/2016-1/text/page-002.json,docs/2016-1/tess/page-002.txt
page:2016-1:0003,2016,2016-1,3,3/116,"Schedule A: Assets and ""Unearned"" Income (typed attachment)",schedule_a,schedule_a,high,"Typed attachment table replacing the Schedule A grid. Columns: SP, DC, JT | Asset | EIF | Value of Asset | Income Type(s) | Income Current Year | Income Preceding Year. ""Page ___ of ___"" left blank. The three ""Location:"" rows are sub-entries under ""Commercial Property:"" whose income (Rent for all properties, N/A current year, $100,001-$1,000,000 preceding year) is reported on the Commercial Property header line.",34,0,docs/2016-1/pages/page-003.jpg,docs/2016-1/text/page-003.json,docs/2016-1/tess/page-003.txt
page:2016-1:0004,2016,2016-1,4,4/116,"Schedule A: Assets and ""Unearned"" Income (typed attachment)",schedule_a,schedule_a,high,"Typed attachment table, continuation of Schedule A. Columns: SP, DC, JT | Asset | EIF | Value of Asset | Income Type(s) | Income Current Year | Income Preceding Year. ""Page ___ of ___"" left blank. Three cross-reference notes point to further attached schedules: ""See attached MS Areco Schedule"" (under Ritu Ahuja 1995 Trust / ARECO LP), ""See attached MS MR Schedule"" (under Ritu Ahuja 1994 Trust & Ritu Ahuja 1995 Trust / M&R Trust Partnership), and ""See attached GS Schedule"" (under Ritu Ahuja Rev. Trust / Ritu Ahuja 1994 Trust / Ritu Ahuja 1995 Trust / M&R Trust Partnership).",18,0,docs/2016-1/pages/page-004.jpg,docs/2016-1/text/page-004.json,docs/2016-1/tess/page-004.txt
page:2016-1:0005,2016,2016-1,5,5/116,"Schedule A - Assets and ""Unearned Income"" — attachment ""MS M R Schedule A 12.31.16""",schedule_a,schedule_a,high,"Transposed Morgan Stanley-prepared attachment grid (footer: ""MS M R Schedule A 12.31.16""). Each column is one asset; rows are: EIF (blank for all three), SP/DC/JT (""SP"" for all three), Stock Name, Ticker, then Value of Asset buckets A-L plus Spouse/DC Asset over $1,000,000, Type of Income (None / Dividends / Rent / Interest / Capital Gains / Excepted/Blind Trust / Tax-Deferred / Other Type of Income), Amount of Income: Current Year buckets A-K plus Spouse/DC Income over $1,000,000, and Amount of Income: Preceding Year (January 1, 2016 - December 31, 2016) buckets A-K plus Spouse/DC Income over $1,000,000. Selections are solid-black filled cells. ""Page ___ of ___"" left blank. Name: Rohit Khanna.",3,2,docs/2016-1/pages/page-005.jpg,docs/2016-1/text/page-005.json,docs/2016-1/tess/page-005.txt
page:2016-1:0006,2016,2016-1,6,6/116,"Schedule A - Assets and ""Unearned Income"" — attachment ""MS M R Schedule A 12.31.16""",schedule_a,schedule_a,high,"Transposed Morgan Stanley-prepared attachment grid (footer: ""MS M R Schedule A 12.31.16""), second page of this attachment. Each column is one asset; rows are EIF (checkmark for Vanguard Dividend Growth Fund and Hamlin High Div Equity Inst; blank for Solarcity), SP/DC/JT (""SP"" for all three), Stock Name, Ticker, then Value of Asset buckets, Type of Income rows, Amount of Income: Current Year buckets, and Amount of Income: Preceding Year (January 1, 2016 - December 31, 2016) buckets. Selections are solid-black filled cells. All three assets have Value of Asset ""A: None"" (single black bar spans all three columns) and Amount of Income: Current Year ""A: None"" (single black bar spans all three columns). ""Page ___ of ___"" left blank. Name: Rohit Khanna.",3,0,docs/2016-1/pages/page-006.jpg,docs/2016-1/text/page-006.json,docs/2016-1/tess/page-006.txt
page:2016-1:0007,2016,2016-1,7,7/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Custom typed spreadsheet layout (footer: 'MS M R Schedule A 12.31.16'): assets are COLUMNS, attributes are rows. Attribute rows: EIF (blank for all columns); SP, DC, JT; Stock Name; Ticker; Value of Asset (buckets A: None through L: Over $50,000,000 plus Spouse/DC Asset over $1,000,000); Type of Income (None, Dividends, Rent, Interest, Capital Gains, Excepted/Blind Trust, Tax-Deferred, Other Type of Income); Amount of Income: Current Year (A: None ... K: Over $5,000,000, Spouse/DC Income over $1,000,000); Amount of Income: Preceding Year January 1, 2016 - December 31, 2016 (same buckets). Filled (blacked-out) cells mark the selection. This layout has no Block E transaction column, so transaction is null for all rows. Both amount-of-income blocks are recorded as amount_of_income_current_year and amount_of_income_preceding_year. Page header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",6,1,docs/2016-1/pages/page-007.jpg,docs/2016-1/text/page-007.json,docs/2016-1/tess/page-007.txt
page:2016-1:0008,2016,2016-1,8,8/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Custom typed spreadsheet layout (footer: 'MS M R Schedule A 12.31.16'): assets are COLUMNS (5 on this page), attributes are rows; filled (blacked-out) cells mark selections. EIF row blank for all columns. No Block E transaction column, so transaction is null. Amount of Income appears twice: 'Current Year' and 'Preceding Year January 1, 2016 - December 31, 2016', recorded as amount_of_income_current_year / amount_of_income_preceding_year. Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",5,1,docs/2016-1/pages/page-008.jpg,docs/2016-1/text/page-008.json,docs/2016-1/tess/page-008.txt
page:2016-1:0009,2016,2016-1,9,9/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Custom typed spreadsheet layout (footer: 'MS M R Schedule A 12.31.16'): assets are COLUMNS (5 on this page), attributes are rows; filled (blacked-out) cells mark selections. EIF row blank for all columns. No Block E transaction column, so transaction is null. Amount of Income appears twice: 'Current Year' and 'Preceding Year January 1, 2016 - December 31, 2016', recorded as amount_of_income_current_year / amount_of_income_preceding_year. Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",5,0,docs/2016-1/pages/page-009.jpg,docs/2016-1/text/page-009.json,docs/2016-1/tess/page-009.txt
page:2016-1:0010,2016,2016-1,10,10/116,"Schedule A - Assets and ""Unearned Income""",schedule_a,schedule_a,high,"Custom typed spreadsheet layout (footer: 'MS M R Schedule A 12.31.16'): assets are COLUMNS (5 on this page), attributes are rows; filled (blacked-out) cells mark selections. EIF row blank for all columns. No Block E transaction column, so transaction is null. Amount of Income appears twice: 'Current Year' and 'Preceding Year January 1, 2016 - December 31, 2016', recorded as amount_of_income_current_year / amount_of_income_preceding_year. Header: 'Name: Rohit Khanna', 'Page ___ of ___' (blank).",5,0,docs/2016-1/pages/page-010.jpg,docs/2016-1/text/page-010.json,docs/2016-1/tess/page-010.txt
